id,name,host_id,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365
2539,Clean & quiet apt home by the park,2787,Brooklyn,Kensington,40.647490000000005,-73.97237,Private room,149,1,9,0.21,6,365
2595,Skylit Midtown Castle,2845,Manhattan,Midtown,40.75362,-73.98376999999999,Entire home/apt,225,1,45,0.38,2,355
3647,THE VILLAGE OF HARLEM....NEW YORK !,4632,Manhattan,Harlem,40.809020000000004,-73.9419,Private room,150,3,0,0.0,1,365
3831,Cozy Entire Floor of Brownstone,4869,Brooklyn,Clinton Hill,40.685140000000004,-73.95976,Entire home/apt,89,1,270,4.64,1,194
5022,Entire Apt: Spacious Studio/Loft by central park,7192,Manhattan,East Harlem,40.79851,-73.94399,Entire home/apt,80,10,9,0.1,1,0
5099,Large Cozy 1 BR Apartment In Midtown East,7322,Manhattan,Murray Hill,40.74767,-73.975,Entire home/apt,200,3,74,0.59,1,129
5121,BlissArtsSpace!,7356,Brooklyn,Bedford-Stuyvesant,40.68688,-73.95596,Private room,60,45,49,0.4,1,0
5178,Large Furnished Room Near B'way ,8967,Manhattan,Hell's Kitchen,40.76489,-73.98493,Private room,79,2,430,3.47,1,220
5203,Cozy Clean Guest Room - Family Apt,7490,Manhattan,Upper West Side,40.80178,-73.96723,Private room,79,2,118,0.99,1,0
5238,Cute & Cozy Lower East Side 1 bdrm,7549,Manhattan,Chinatown,40.713440000000006,-73.99037,Entire home/apt,150,1,160,1.33,4,188
5295,Beautiful 1br on Upper West Side,7702,Manhattan,Upper West Side,40.80316,-73.96545,Entire home/apt,135,5,53,0.43,1,6
5441,Central Manhattan/near Broadway,7989,Manhattan,Hell's Kitchen,40.76076,-73.98867,Private room,85,2,188,1.5,1,39
5803,"Lovely Room 1, Garden, Best Area, Legal rental",9744,Brooklyn,South Slope,40.66829,-73.98779,Private room,89,4,167,1.34,3,314
6021,Wonderful Guest Bedroom in Manhattan for SINGLES,11528,Manhattan,Upper West Side,40.79826,-73.96113000000001,Private room,85,2,113,0.91,1,333
6090,West Village Nest - Superhost,11975,Manhattan,West Village,40.7353,-74.00525,Entire home/apt,120,90,27,0.22,1,0
6848,Only 2 stops to Manhattan studio,15991,Brooklyn,Williamsburg,40.70837,-73.95352,Entire home/apt,140,2,148,1.2,1,46
7097,Perfect for Your Parents + Garden,17571,Brooklyn,Fort Greene,40.69169,-73.97185,Entire home/apt,215,2,198,1.72,1,321
7322,Chelsea Perfect,18946,Manhattan,Chelsea,40.74192,-73.99501,Private room,140,1,260,2.12,1,12
7726,Hip Historic Brownstone Apartment with Backyard,20950,Brooklyn,Crown Heights,40.67592,-73.94694,Entire home/apt,99,3,53,4.44,1,21
7750,Huge 2 BR Upper East  Cental Park,17985,Manhattan,East Harlem,40.79685,-73.94872,Entire home/apt,190,7,0,0.0,2,249
7801,Sweet and Spacious Brooklyn Loft,21207,Brooklyn,Williamsburg,40.71842,-73.95718000000001,Entire home/apt,299,3,9,0.07,1,0
8024,CBG CtyBGd HelpsHaiti rm#1:1-4,22486,Brooklyn,Park Slope,40.680690000000006,-73.97706,Private room,130,2,130,1.09,6,347
8025,CBG Helps Haiti Room#2.5,22486,Brooklyn,Park Slope,40.67989,-73.97798,Private room,80,1,39,0.37,6,364
